order_id,user_id,order_timestamp,amount
4834,  3773  ,,
170,,10-05-2024,2650
869,,,abc
14628,413,02/18/2023,  1500  
8449,5697,,  1500  
4606,,2022/07/03,
17407,  2555  ,,
13494,147,21-07-2022,
2892,,04/05/2024,  1500  
4489,935,01/25/2024,
2625,,,1109
3084,5284,,4095
11057,  3912  ,2022-09-11 00:00:00,abc
12127,  788  ,2024-11-19 00:00:00,2067
1391,  3403  ,,3688
14312,5182,10/12/2022,
8937,  2481  ,,abc
14808,  2457  ,,500.50
7080,,10/13/2022,500.50
3623,359,  2024-06-06  ,3000
15707,,2023-08-28 00:00:00,  1500  
14352,,  2022-08-22  ,
16189,  2392  ,  2022-07-18  ,  1500  
4419,4161,20-11-2022,abc
15462,531,2023-07-08 00:00:00,1863
8364,5066,,4650
4135,861,2022-01-23 00:00:00,500.50
9686,,2023/05/11,  1500  
1494,  631  ,,2991
17646,,  2024-03-05  ,  1500  
19883,,09/07/2023,351
956,,07-10-2024,abc
13993,,2022-07-26 00:00:00,abc
9018,1002,  2022-05-09  ,  1500  
17819,  5594  ,2023/02/05,3089
912,,,
10527,4677,2024-10-09 00:00:00,
17156,  519  ,,2819
14697,,  2024-09-05  ,2295
4253,,2023/10/26,500.50
5743,  2753  ,2022-12-02 00:00:00,1206
11486,3056,  2024-09-18  ,1980
10989,1226,  2023-10-28  ,3503
463,  3295  ,  2023-08-27  ,abc
12615,3162,  2023-04-29  ,957
9439,,,  1500  
13403,  1027  ,2022-08-13 00:00:00,500.50
6581,  5385  ,2022-12-01 00:00:00,500.50
17480,2154,2023/05/15,
1298,  903  ,2022/10/30,3767
10943,,2023-02-08 00:00:00,1606
125,2721,,4381
18069,  5643  ,2023-04-07 00:00:00,626
820,5214,02/02/2024,  1500  
15158,  5019  ,2023/04/18,  1500  
7028,  5302  ,2024-09-07 00:00:00,
18910,691,,4992
1968,4614,2024/03/01,1799
524,,2022-12-09 00:00:00,3495
17717,,2022/08/12,
5960,2109,2024-02-07 00:00:00,abc
16746,5736,10-03-2024,500.50
2184,266,06/12/2024,4476
15718,  5722  ,2023-02-02 00:00:00,2434
12109,  49  ,,500.50
7132,,2023/07/04,500.50
13011,,12-05-2023,  1500  
10196,,2024/11/15,1060
2500,5453,12-05-2022,2408
16358,  4238  ,25-10-2024,
10016,  3200  ,2022-10-30 00:00:00,500.50
7509,,03/07/2024,656
295,  747  ,10-12-2024,
8154,  989  ,12-07-2024,500.50
13037,,13-02-2022,  1500  
10027,,2024-12-11 00:00:00,  1500  
12020,487,2024/01/07,
14552,  3369  ,2024-09-16 00:00:00,500.50
8385,  5686  ,28-12-2023,500.50
12696,1091,11/05/2024,  1500  
16609,  2207  ,  2024-09-17  ,2252
15418,3529,10-09-2022,abc
19631,,2024-04-30 00:00:00,2915
9238,3756,,abc
11377,,,3699
11754,,2022-01-14 00:00:00,500.50
7839,  4704  ,22-10-2022,abc
5639,  5881  ,08/19/2023,4141
6926,  3884  ,2023/12/27,abc
19951,381,,  1500  
8708,  2446  ,2023/01/04,abc
18416,919,2023/04/15,  1500  
12181,816,,
768,  1893  ,19-08-2022,  1500  
10066,3255,2023/07/12,
653,,2024/01/20,
5674,  5174  ,25-07-2022,
16130,,06/23/2022,4564
9394,  5396  ,09-03-2024,3151
12585,,20-02-2024,
13194,,  2024-07-08  ,4653
18596,  1553  ,31-10-2022,1343
5365,5234,,
9578,1266,2024-12-28 00:00:00,220
13703,,2024-09-02 00:00:00,616
1937,2997,04-10-2023,
49,,03/01/2022,  1500  
8015,  2152  ,,  1500  
4952,3674,,339
17781,  233  ,02-09-2023,
13005,,04-08-2022,3654
17144,,14-01-2024,  1500  
4126,4086,  2024-05-14  ,500.50
14028,,2022/06/09,  1500  
19636,  231  ,2024-09-07 00:00:00,abc
7102,  3883  ,2024-09-09 00:00:00,  1500  
17424,4834,2024/02/29,
4480,  5972  ,  2022-02-08  ,
4110,1036,01/17/2022,2398
2942,,2023-03-12 00:00:00,abc
13503,,,1130
17140,1356,2024/05/15,abc
7806,  1842  ,09-03-2024,abc
13325,  3125  ,,881
8219,1580,,2742
9462,,06/10/2023,500.50
19610,  3143  ,04/24/2023,abc
15604,,,abc
13297,4154,  2022-09-18  ,  1500  
18805,,,500.50
9332,,04-11-2022,
9526,  2549  ,,500.50
5037,  4420  ,05-06-2024,894
212,654,07/15/2023,abc
13328,  2141  ,,1056
7819,1903,02/11/2022,abc
8355,  4814  ,,  1500  
1041,  1003  ,  2023-07-22  ,
10077,3866,  2023-02-14  ,475
2311,  4378  ,2024/06/11,500.50
6898,  1670  ,31-01-2022,3111
1758,,2023-03-17 00:00:00,500.50
3537,1443,2024-12-24 00:00:00,4409
2496,921,05/23/2023,abc
1105,  4673  ,27-08-2024,2049
11161,  1734  ,2024/09/16,abc
8182,  2682  ,,  1500  
482,  96  ,2024-03-21 00:00:00,
12550,  5070  ,11/30/2023,
7783,  5541  ,  2022-02-27  ,1692
1745,  360  ,2023/08/03,1279
9549,  866  ,,  1500  
17689,204,24-11-2022,500.50
6460,  5944  ,13-01-2024,1217
6726,3531,03-12-2022,
11814,  3634  ,2022/06/14,500.50
13809,,,2910
3093,  2671  ,22-11-2023,1601
473,2674,  2023-09-27  ,500.50
3166,187,  2022-05-15  ,500.50
11090,  2163  ,2024/03/21,abc
17587,1024,10-02-2022,
1906,  4305  ,2023-04-30 00:00:00,abc
10323,  1142  ,28-03-2022,  1500  
2984,,07-11-2022,abc
2783,4704,  2024-12-16  ,
14810,,  2022-09-04  ,500.50
15544,,02/07/2023,  1500  
6424,,,500.50
2616,  5888  ,,
15937,  4187  ,2024-08-29 00:00:00,  1500  
6030,  2506  ,  2023-12-14  ,1144
9404,3585,  2023-09-06  ,563
6439,5473,  2022-03-20  ,  1500  
17648,  2779  ,2022/08/31,abc
16028,4085,12-05-2024,500.50
17853,4901,  2024-08-30  ,2972
9350,5971,2024-11-06 00:00:00,  1500  
16598,,2023-07-29 00:00:00,916
1037,,05/31/2023,4549
8193,,2022-01-22 00:00:00,abc
15211,  2799  ,11/27/2022,  1500  
13674,2222,,
1199,  20  ,2022/03/26,
19742,  260  ,29-03-2022,2948
18365,2887,  2023-03-04  ,abc
12609,,19-05-2022,3336
15602,5384,  2022-03-24  ,abc
6698,  2695  ,13-02-2022,4643
242,,2024-05-03 00:00:00,
644,,2022/09/02,500.50
18957,,13-12-2023,500.50
18293,  4134  ,04/29/2023,3562
5396,  3739  ,2022-04-15 00:00:00,abc
19568,2279,2023-12-20 00:00:00,500.50
17801,  2731  ,2023-09-05 00:00:00,1357
5464,  1782  ,10/18/2023,  1500  
9013,,19-10-2023,
18984,754,25-08-2024,  1500  
9524,4903,,
14556,4056,,4946
17564,,2022/08/17,500.50
9636,5683,2023/12/19,  1500  
9040,,06/14/2022,  1500  
12026,4235,,  1500  
11152,  5883  ,29-10-2022,
16748,1171,2024-12-03 00:00:00,
845,  3787  ,2023-07-03 00:00:00,4268
12395,,01/09/2024,1086
7978,  1004  ,2022/05/01,
3465,  4840  ,21-07-2023,3200
7407,,2024-12-02 00:00:00,3296
13291,  767  ,  2024-04-11  ,
14486,  5790  ,10/03/2022,644
15805,314,22-11-2022,  1500  
19561,,01/19/2024,  1500  
541,3985,31-03-2023,2726
19046,,10-08-2022,374
1796,  5828  ,2022/10/25,390
7825,  671  ,2023-01-31 00:00:00,4093
12025,3312,2022/02/21,1893
4397,,07/20/2023,abc
865,,2023-05-06 00:00:00,
5502,,24-01-2022,  1500  
19707,3581,2024/09/12,
4111,,07/10/2022,1260
17573,,24-06-2023,3759
876,,,2374
3503,2697,2022-09-09 00:00:00,abc
15339,  1396  ,28-10-2023,
4910,886,01-07-2023,656
15093,949,21-11-2022,3106
16079,,  2023-09-26  ,abc
11248,581,2022/09/09,1182
12484,  5673  ,22-01-2022,
9500,228,05/29/2022,  1500  
412,,2022-03-19 00:00:00,abc
6291,95,03/10/2024,abc
2128,3013,2023-03-05 00:00:00,
1139,  1655  ,07/29/2022,2891
18780,,2024/06/25,
4760,  3512  ,05-01-2022,4986
15660,,2022-05-28 00:00:00,  1500  
9803,,20-08-2022,2960
9750,2258,2023-10-04 00:00:00,
4303,,  2024-08-10  ,4027
13495,,  2022-10-10  ,3593
315,  4147  ,,1018
14426,,2022/07/02,3569
15765,5222,  2022-09-27  ,4503
16786,,06/23/2023,
16870,  4688  ,  2022-08-19  ,3853
17817,,,
18471,  5378  ,07-05-2023,
16122,  1360  ,01/11/2023,  1500  
7460,,2023-05-14 00:00:00,
19714,  5836  ,2024/04/03,500.50
3449,3613,09/05/2024,500.50
1759,2293,  2023-09-21  ,3683
6266,,07/24/2022,
3509,  344  ,,  1500  
5701,1518,2024/01/13,  1500  
10478,,19-01-2022,abc
9455,  2397  ,03/08/2022,500.50
7121,  5120  ,2023/04/05,1995
11863,68,12/24/2022,3062
873,530,04-06-2023,500.50
5775,  2023  ,2024-05-05 00:00:00,4241
10307,  3317  ,09/11/2022,  1500  
19505,,19-02-2023,abc
2954,,,abc
18082,,11-04-2024,500.50
5662,  4924  ,2022/04/06,  1500  
5895,  665  ,  2022-08-18  ,
15082,1578,2022/01/24,500.50
14870,5707,09/22/2022,  1500  
14805,,03-09-2023,3458
4218,,17-06-2023,  1500  
7325,2453,2024-03-11 00:00:00,  1500  
18913,3552,24-03-2024,1317
3490,,21-10-2022,abc
6976,  5718  ,11/06/2023,
19325,2113,,  1500  
6084,  3358  ,04/24/2022,
578,  455  ,  2023-03-10  ,  1500  
14701,,2024-05-01 00:00:00,3682
17693,2435,07-11-2023,1992
19170,  5968  ,  2022-10-30  ,1344
619,  351  ,11/03/2023,abc
11712,,,500.50
1257,  3107  ,,  1500  
4913,1582,2022-09-06 00:00:00,2818
7954,5725,,abc
15115,5204,23-02-2022,  1500  
624,,11-10-2022,3829
17793,  1359  ,2023-08-23 00:00:00,
15033,1539,07/17/2023,500.50
18904,  4363  ,27-10-2023,3204
19514,1105,2024-02-27 00:00:00,  1500  
9094,  1259  ,08/29/2022,2449
10782,4595,  2022-03-10  ,  1500  
5337,  5076  ,2022/12/27,4169
17664,,12/12/2024,2806
6139,  3650  ,23-08-2022,500.50
11681,  3552  ,2023/03/16,500.50
13572,  4006  ,2022/08/05,500.50
13196,178,,abc
14780,,2024/08/22,180
19075,,,3247
9918,2898,,500.50
15557,355,2023-09-12 00:00:00,3962
16103,1783,  2022-12-26  ,
11667,  3465  ,12/18/2024,
392,  4668  ,11/24/2022,3004
14940,5546,  2023-02-07  ,4007
4632,5818,2024-05-10 00:00:00,abc
8782,  1223  ,02-06-2024,abc
7937,  3733  ,,
13024,  2535  ,  2022-12-24  ,  1500  
8867,2150,05/28/2022,2003
7863,  4730  ,2023/05/14,1187
13442,  2634  ,2023-01-26 00:00:00,216
3935,1742,2023-04-06 00:00:00,958
2241,,,3179
4674,,2024-07-08 00:00:00,3551
9409,,2022/06/08,
5142,,2022/08/06,500.50
5138,  574  ,  2024-06-15  ,
5723,  3898  ,25-01-2023,  1500  
4313,,  2024-10-04  ,4686
652,,,433
3672,765,2022-03-18 00:00:00,  1500  
3433,,2023/10/05,500.50
7422,4890,,500.50
11882,  3140  ,  2024-01-18  ,abc
16056,  5469  ,  2023-04-27  ,2573
3607,,  2024-05-26  ,
14737,  5943  ,2022/08/25,3292
6407,,,500.50
6826,,31-10-2023,4984
14085,2964,,abc
11111,,2022/06/16,667
15689,4259,2022/09/01,3854
1744,,13-06-2022,500.50
2169,,2024-03-23 00:00:00,  1500  
18615,  566  ,2022-11-23 00:00:00,1575
7595,,  2022-06-01  ,500.50
2430,,2022-03-07 00:00:00,abc
15236,,04/14/2022,abc
4645,  1802  ,28-04-2024,  1500  
16062,1991,06/29/2022,3516
12603,  4062  ,  2024-08-24  ,3530
4715,  4537  ,,  1500  
8330,  4270  ,,  1500  
10597,,24-12-2024,abc
1676,  1612  ,  2022-10-23  ,abc
16705,752,  2024-08-28  ,abc
3008,4072,06/22/2023,
14033,,2022-11-10 00:00:00,4037
2281,  3184  ,,3654
17313,  3789  ,,432
6049,  706  ,27-05-2023,
14678,  928  ,2024-11-14 00:00:00,abc
19564,277,2023/07/26,abc
776,5720,29-04-2022,500.50
7756,  5853  ,2022-10-17 00:00:00,  1500  
12049,5596,12-04-2022,500.50
63,,17-09-2023,1225
1996,  3319  ,  2024-04-02  ,3545
8200,2056,,2821
15408,,,
18127,2520,2023-06-10 00:00:00,  1500  
406,422,2023/07/13,532
6300,,23-09-2023,791
17611,3287,2023/07/21,
3116,  4573  ,,  1500  
568,,2022/01/27,
65,666,2022/11/08,699
9846,326,2024/01/25,
8634,5281,11-09-2024,
7182,2804,25-12-2023,
264,  3976  ,,500.50
7206,,  2024-08-19  ,2803
17699,,04-12-2022,500.50
15892,  692  ,  2024-10-18  ,500.50
10114,280,2022/05/11,262
10311,3882,2022-03-07 00:00:00,3847
1748,4275,  2024-07-18  ,2198
311,4352,11/07/2024,abc
14467,2272,,
4576,,2024-06-16 00:00:00,abc
5677,  3742  ,,abc
5605,  533  ,2023/07/27,abc
929,  4270  ,11/28/2024,1958
15380,,08/18/2022,abc
727,,  2024-04-12  ,3470
748,5501,10/14/2022,
8556,,2023-02-19 00:00:00,abc
18817,  5844  ,13-02-2023,500.50
19205,,2023/07/21,500.50
8513,  1649  ,04-07-2023,4486
